Number of colors: 256
Color:   0, R: 0, G: 0, B: 0
Color:  67, R: 73, G: 0, B: 255
Color:  68, R: 73, G: 36, B: 0
Color:  69, R: 73, G: 36, B: 85
Color:  70, R: 73, G: 36, B: 170
Color:  71, R: 73, G: 36, B: 255
Color:  72, R: 73, G: 73, B: 0
Color:  73, R: 73, G: 73, B: 85
Color:  74, R: 73, G: 73, B: 170
Color:  75, R: 73, G: 73, B: 255
Color:  76, R: 73, G: 109, B: 0
Color:  77, R: 73, G: 109, B: 85
Color:  78, R: 73, G: 109, B: 170
Color:  79, R: 73, G: 109, B: 255
Color:  80, R: 73, G: 146, B: 0
Color:  81, R: 73, G: 146, B: 85
Color:  82, R: 73, G: 146, B: 170
Color:  83, R: 73, G: 146, B: 255
Color:  84, R: 73, G: 182, B: 0
Color:  85, R: 73, G: 182, B: 85
Color:  86, R: 73, G: 182, B: 170
Color:  87, R: 73, G: 182, B: 255
Color:  88, R: 73, G: 219, B: 0
Color:  89, R: 73, G: 219, B: 85
Color:  90, R: 73, G: 219, B: 170
Color:  91, R: 73, G: 219, B: 255
Color:  92, R: 73, G: 255, B: 0
Color:  93, R: 73, G: 255, B: 85
Color:  94, R: 73, G: 255, B: 170
Color:  95, R: 73, G: 255, B: 255
Color:  96, R: 109, G: 0, B: 0
Color:  97, R: 109, G: 0, B: 85
Color:  98, R: 109, G: 0, B: 170
Color:  99, R: 109, G: 0, B: 255
Color: 100, R: 109, G: 36, B: 0
Color: 101, R: 109, G: 36, B: 85
Color: 102, R: 109, G: 36, B: 170
Color: 103, R: 109, G: 36, B: 255
Color: 104, R: 109, G: 73, B: 0
Color: 105, R: 109, G: 73, B: 85
Color: 106, R: 109, G: 73, B: 170
Color: 107, R: 109, G: 73, B: 255
Color: 108, R: 109, G: 109, B: 0
Color: 109, R: 109, G: 109, B: 85
Color: 110, R: 109, G: 109, B: 170
Color: 111, R: 109, G: 109, B: 255
Color: 112, R: 109, G: 146, B: 0
Color: 113, R: 109, G: 146, B: 85
Color: 114, R: 109, G: 146, B: 170
Color: 115, R: 109, G: 146, B: 255
Color: 116, R: 109, G: 182, B: 0
Color: 117, R: 109, G: 182, B: 85
Color: 118, R: 109, G: 182, B: 170
Color: 119, R: 109, G: 182, B: 255
Color: 120, R: 109, G: 219, B: 0
Color: 121, R: 109, G: 219, B: 85
Color: 122, R: 109, G: 219, B: 170
Color: 123, R: 109, G: 219, B: 255
Color: 124, R: 109, G: 255, B: 0
Color: 125, R: 109, G: 255, B: 85
Color: 126, R: 109, G: 255, B: 170
Color: 127, R: 109, G: 255, B: 255
Color: 128, R: 146, G: 0, B: 0
Color: 129, R: 146, G: 0, B: 85
Color: 130, R: 146, G: 0, B: 170
Color: 131, R: 146, G: 0, B: 255
Color: 132, R: 146, G: 36, B: 0
Color: 133, R: 146, G: 36, B: 85
Color: 134, R: 146, G: 36, B: 170
Color: 135, R: 146, G: 36, B: 255
Color: 136, R: 146, G: 73, B: 0
Color: 137, R: 146, G: 73, B: 85
Color: 138, R: 146, G: 73, B: 170
Color: 139, R: 146, G: 73, B: 255
Color: 140, R: 146, G: 109, B: 0
Color: 141, R: 146, G: 109, B: 85
Color: 142, R: 146, G: 109, B: 170
Color: 143, R: 146, G: 109, B: 255
Color: 144, R: 146, G: 146, B: 0
Color: 145, R: 146, G: 146, B: 85
Color: 146, R: 146, G: 146, B: 170
Color: 147, R: 146, G: 146, B: 255
Color: 148, R: 146, G: 182, B: 0
Color: 149, R: 146, G: 182, B: 85
Color: 150, R: 146, G: 182, B: 170
Color: 151, R: 146, G: 182, B: 255
Color: 152, R: 146, G: 219, B: 0
Color: 153, R: 146, G: 219, B: 85
Color: 154, R: 146, G: 219, B: 170
Color: 155, R: 146, G: 219, B: 255
Color: 156, R: 146, G: 255, B: 0
Color: 157, R: 146, G: 255, B: 85
Color: 158, R: 146, G: 255, B: 170
Color: 159, R: 146, G: 255, B: 255
Color: 160, R: 182, G: 0, B: 0
Color: 161, R: 182, G: 0, B: 85
Color: 162, R: 182, G: 0, B: 170
Color: 163, R: 182, G: 0, B: 255
Color: 164, R: 182, G: 36, B: 0
Color: 165, R: 182, G: 36, B: 85
Color: 166, R: 182, G: 36, B: 170
Color: 167, R: 182, G: 36, B: 255
Color: 168, R: 182, G: 73, B: 0
Color: 169, R: 182, G: 73, B: 85
Color: 170, R: 182, G: 73, B: 170
Color: 171, R: 182, G: 73, B: 255
Color: 172, R: 182, G: 109, B: 0
Color: 173, R: 182, G: 109, B: 85
Color: 174, R: 182, G: 109, B: 170
Color: 175, R: 182, G: 109, B: 255
Color: 176, R: 182, G: 146, B: 0
Color: 177, R: 182, G: 146, B: 85
Color: 178, R: 182, G: 146, B: 170
Color: 179, R: 182, G: 146, B: 255
Color: 180, R: 182, G: 182, B: 0
Color: 181, R: 182, G: 182, B: 85
Color: 182, R: 182, G: 182, B: 170
Color: 183, R: 182, G: 182, B: 255
Color: 184, R: 182, G: 219, B: 0
Color: 185, R: 182, G: 219, B: 85
Color: 186, R: 182, G: 219, B: 170
Color: 187, R: 182, G: 219, B: 255
Color: 188, R: 182, G: 255, B: 0
Color: 189, R: 182, G: 255, B: 85
Color: 190, R: 182, G: 255, B: 170
Color: 191, R: 182, G: 255, B: 255
Color: 192, R: 219, G: 0, B: 0
Color: 193, R: 219, G: 0, B: 85
Color: 194, R: 219, G: 0, B: 170
Color: 195, R: 219, G: 0, B: 255
Color: 196, R: 219, G: 36, B: 0
Color: 197, R: 219, G: 36, B: 85
Color: 198, R: 219, G: 36, B: 170
Color: 199, R: 219, G: 36, B: 255
Color: 200, R: 219, G: 73, B: 0
Color: 201, R: 219, G: 73, B: 85
Color: 202, R: 219, G: 73, B: 170
Color: 203, R: 219, G: 73, B: 255
Color: 204, R: 219, G: 109, B: 0
Color: 205, R: 219, G: 109, B: 85
Color: 206, R: 219, G: 109, B: 170
Color: 207, R: 219, G: 109, B: 255
Color: 208, R: 219, G: 146, B: 0
Color: 209, R: 219, G: 146, B: 85
Color: 210, R: 219, G: 146, B: 170
Color: 211, R: 219, G: 146, B: 255
Color: 212, R: 219, G: 182, B: 0
Color: 213, R: 219, G: 182, B: 85
Color: 214, R: 219, G: 182, B: 170
Color: 215, R: 219, G: 182, B: 255
Color: 216, R: 219, G: 219, B: 0
Color: 217, R: 219, G: 219, B: 85
Color: 218, R: 219, G: 219, B: 170
Color: 219, R: 219, G: 219, B: 255
Color: 220, R: 219, G: 255, B: 0
Color: 221, R: 219, G: 255, B: 85
Color: 222, R: 219, G: 255, B: 170
Color: 223, R: 219, G: 255, B: 255
Color: 224, R: 255, G: 0, B: 0
Color: 225, R: 255, G: 0, B: 85
Color: 226, R: 255, G: 0, B: 170
Color: 227, R: 255, G: 0, B: 255
Color: 228, R: 255, G: 36, B: 0
Color: 229, R: 255, G: 36, B: 85
Color: 230, R: 255, G: 36, B: 170
Color: 231, R: 255, G: 36, B: 255
Color: 232, R: 255, G: 73, B: 0
Color: 233, R: 255, G: 73, B: 85
Color: 234, R: 255, G: 73, B: 170
Color: 235, R: 255, G: 73, B: 255
Color: 236, R: 255, G: 109, B: 0
Color: 237, R: 255, G: 109, B: 85
Color: 238, R: 255, G: 109, B: 170
Color: 239, R: 255, G: 109, B: 255
Color: 240, R: 255, G: 146, B: 0
Color: 241, R: 255, G: 146, B: 85
Color: 242, R: 255, G: 146, B: 170
Color: 243, R: 255, G: 146, B: 255
Color: 244, R: 255, G: 182, B: 0
Color: 245, R: 255, G: 182, B: 85
Color: 246, R: 255, G: 182, B: 170
Color: 247, R: 255, G: 182, B: 255
Color: 248, R: 255, G: 219, B: 0
Color: 249, R: 255, G: 219, B: 85
Color: 250, R: 255, G: 219, B: 170
Color: 251, R: 255, G: 219, B: 255
Color: 252, R: 255, G: 255, B: 0
Color: 253, R: 255, G: 255, B: 85
Color: 254, R: 255, G: 255, B: 170
Color: 255, R: 255, G: 255, B: 255

